,,,,,,,,,,,
#EJECUCIÓN GASTOS- EJERCICIO 2013,,,,,,,,,,,
,,,,,,,,,,,
#Org.,Prog.,Econ.,Denominación,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
,,,,,,,,,,,
,130,11000,Seguridad y Protección Civil Retribuciones básicas,Seguridad y Protección Civil Retribuciones básicas,,130,1,29999.9,0,29999.9,29485.62
,,,,,,,,,,,
,130,12003,Seguridad  y Protección Civil. Sueldos del Grupo C1,Seguridad  y Protección Civil. Sueldos del Grupo C1,,130,1,10080.28,0,10080.28,9872.84
,,,,,,,,,,,
,130,12004,Seguridad  y Protección Civil. Sueldos del Grupo C2,Seguridad  y Protección Civil. Sueldos del Grupo C2,,130,1,436254,0,436254,417258.81
,,,,,,,,,,,
,130,12006,Seguridad  y Protección Civil. Trienios,Seguridad  y Protección Civil. Trienios,,130,1,32615.22,0,32615.22,36122.66
,,,,,,,,,,,
,130,12100,Seguridad  y Protección Civil. Complemento de destino,Seguridad  y Protección Civil. Complemento de destino,,130,1,239356.18,0,239356.18,230236.15
,,,,,,,,,,,
,130,12101,Seguridad y Protección Civil. Complemento específico,Seguridad y Protección Civil. Complemento específico,,130,1,1306867.52,0,1306867.52,1262774.75
,,,,,,,,,,,
,130,13000,Seguridad  y Protección Civil..Salario Base,Seguridad  y Protección Civil..Salario Base,,130,1,7678.58,0,7678.58,7678.58
,,,,,,,,,,,
,130,13002,Seguridad  y Protección Civil..Otras remuneraciones,Seguridad  y Protección Civil..Otras remuneraciones,,130,1,9361.54,0,9361.54,9361.94
,,,,,,,,,,,
,130,13006,Seguridad  y Protección Civil..Trienios,Seguridad  y Protección Civil..Trienios,,130,1,592.68,0,592.68,754.32
,,,,,,,,,,,
,130,15000,Seguridad  y Protección Civil. Productividad,Seguridad  y Protección Civil. Productividad,,130,1,40846,0,40846,0
,,,,,,,,,,,
,130,15100,Seguridad  y Protección Civil. Gratificaciones,Seguridad  y Protección Civil. Gratificaciones,,130,1,40000,0,40000,56706.2
,,,,,,,,,,,
,130,20400,Seguridad  y Protección Civil. Alquiler de vehiculos,Seguridad  y Protección Civil. Alquiler de vehiculos,,130,2,37256.04,0,37256.04,37256.04
,,,,,,,,,,,
,130,20500,"Seguridad  y Protección Civil. Alquiler, mobiliario y enseres","Seguridad  y Protección Civil. Alquiler, mobiliario y enseres",,130,2,500,0,500,0
,,,,,,,,,,,
,130,21300,Seguridad  y Protección Civil. Mantenimiento equipos de transmisión,Seguridad  y Protección Civil. Mantenimiento equipos de transmisión,,130,2,500,0,500,75.77
,,,,,,,,,,,
,130,21301,"Seguridad  y Protección Civil. Mantenimiento, maquinaria, instalacciones y utillaje","Seguridad  y Protección Civil. Mantenimiento, maquinaria, instalacciones y utillaje",,130,2,6147.58,0,6147.58,4068.66
,,,,,,,,,,,
,130,21303,Seguridad  y Protección Civil. Mantenimiento aparatos elevadores,Seguridad  y Protección Civil. Mantenimiento aparatos elevadores,,130,2,2436.15,49.32,2485.47,1673.73
,,,,,,,,,,,
,130,21305,"Seguridad  y Protección Civil..Mantenimiento equip.seg., vigilancia  y alarmas","Seguridad  y Protección Civil..Mantenimiento equip.seg., vigilancia  y alarmas",,130,2,36166,0,36166,31392.6
,,,,,,,,,,,
,130,21400,Seguridad  y Protección Civil. Mantenimiento y reparación de vehículos,Seguridad  y Protección Civil. Mantenimiento y reparación de vehículos,,130,2,13268.68,0,13268.68,15104.55
,,,,,,,,,,,
,130,21600,Seguridad  y Protección Civil. Mantenimiento equipos para procesos de información,Seguridad  y Protección Civil. Mantenimiento equipos para procesos de información,,130,2,35824.88,0,35824.88,35116.88
,,,,,,,,,,,
,130,22000,Seguridad  y Protección Civil. Ordinario no inventariable,Seguridad  y Protección Civil. Ordinario no inventariable,,130,2,500,0,500,316.28
,,,,,,,,,,,
,130,22001,"Seguridad  y Protección Civil. Prensa, revistas, libros y otras publicaciones","Seguridad  y Protección Civil. Prensa, revistas, libros y otras publicaciones",,130,2,1200,0,1200,1122.54
,,,,,,,,,,,
,130,22100,Seguridad  y Protección Civil. Energía eléctrica,Seguridad  y Protección Civil. Energía eléctrica,,130,2,42799.57,0,42799.57,29522.68
,,,,,,,,,,,
,130,22101,Seguridad  y Protección Civil..Agua,Seguridad  y Protección Civil..Agua,,130,2,3500,0,3500,1615.19
,,,,,,,,,,,
,130,22103,Seguridad  y Protección Civil. Combustibles y carburantes,Seguridad  y Protección Civil. Combustibles y carburantes,,130,2,500,0,500,0
,,,,,,,,,,,
,130,22104,Seguridad  y Protección Civil. Vestuario,Seguridad  y Protección Civil. Vestuario,,130,2,10000,0,10000,2262.7
,,,,,,,,,,,
,130,22117,Seguridad  y Protección Civil. Utillaje,Seguridad  y Protección Civil. Utillaje,,130,2,1000,0,1000,0
,,,,,,,,,,,
,130,22199,Seguridad  y Prtección Civil. Otros suministros,Seguridad  y Prtección Civil. Otros suministros,,130,2,100,0,100,78.11
,,,,,,,,,,,
,130,22201,Seguridad  y Protección Civil. Postales,Seguridad  y Protección Civil. Postales,,130,2,500,0,500,0
,,,,,,,,,,,
,130,22400,Seguridad  y Protección Civil. Primas de seguros,Seguridad  y Protección Civil. Primas de seguros,,130,2,4000,0,4000,2265.47
,,,,,,,,,,,
,130,22401,Seguridad  y Protección Civil. Primes de seguros de vehículos,Seguridad  y Protección Civil. Primes de seguros de vehículos,,130,2,25500,0,25500,28651.72
,,,,,,,,,,,
,130,22403,Seguridad  y Protección Civil. Seguro perro policía,Seguridad  y Protección Civil. Seguro perro policía,,130,2,300,0,300,240.47
,,,,,,,,,,,
,130,22602,Seguridad  y Protección Civil. Publicidad y propaganda,Seguridad  y Protección Civil. Publicidad y propaganda,,130,2,1500,0,1500,974.05
,,,,,,,,,,,
,130,22603,Seguridad  y Protección Civil. Publicación en Diarios Oficiales,Seguridad  y Protección Civil. Publicación en Diarios Oficiales,,130,2,500,0,500,84.2
,,,,,,,,,,,
,130,22604,"Seguridad  y Protección Civil..Jurídicos, contenciosos","Seguridad  y Protección Civil..Jurídicos, contenciosos",,130,2,121,0,121,1089
,,,,,,,,,,,
,130,22607,Seguridad  y Protección Civil..Oposiciones y pruebas selectivas,Seguridad  y Protección Civil..Oposiciones y pruebas selectivas,,130,2,1000,0,1000,1073.35
,,,,,,,,,,,
,130,22610,Seguridad  y Protección Civil. Festejos populares (Patrona G. Civil y Policía Local),Seguridad  y Protección Civil. Festejos populares (Patrona G. Civil y Policía Local),,130,2,2000,0,2000,1688.5
,,,,,,,,,,,
,130,22642,Seguridad  y Protección Civil..Mantenimiento unidad canina,Seguridad  y Protección Civil..Mantenimiento unidad canina,,130,2,6840,0,6840,4180
,,,,,,,,,,,
,130,22699,Seguridad  y Protección Civil. Otros gastos diversos,Seguridad  y Protección Civil. Otros gastos diversos,,130,2,3500,0,3500,2679.29
,,,,,,,,,,,
,130,22703,Seguridad  y Protección Civil. Tramitación de expedientes sancionadores,Seguridad  y Protección Civil. Tramitación de expedientes sancionadores,,130,2,37500,2854.69,40354.69,17127.48
,,,,,,,,,,,
,130,22704,"Seguridad  y Protección Civil. Custodia, depósito y almacenaje","Seguridad  y Protección Civil. Custodia, depósito y almacenaje",,130,2,15000,0,15000,16914.22
,,,,,,,,,,,
,130,22715,Seguridad  y Protección Civil. Limpieza en edificios,Seguridad  y Protección Civil. Limpieza en edificios,,130,2,19698.41,0,19698.41,19698.41
,,,,,,,,,,,
,130,22799,Seguridad  y Protección Civil. trabajos realizados por otras empresas y profesionales,Seguridad  y Protección Civil. trabajos realizados por otras empresas y profesionales,,130,2,2274.8,0,2274.8,2274.8
,,,,,,,,,,,
,130,62305,Seguridad  y Protección Civil..Señalización,Seguridad  y Protección Civil..Señalización,,130,6,0,13284.51,13284.51,11890.43
,,,,,,,,,,,
,130,62308,Seguridad  y Protección Civil..Cámaras control de tráfico,Seguridad  y Protección Civil..Cámaras control de tráfico,,130,6,3000,-2500,500,423.5
,,,,,,,,,,,
,130,62903,Seguridad  y Protección Civil..Circuito Educación Vial,Seguridad  y Protección Civil..Circuito Educación Vial,,130,629,5000,2500,7500,7338.31
,,,,,,,,,,,
,134,21300,Protección civil. Mantenimiento equipos de transmisión,Protección civil. Mantenimiento equipos de transmisión,,134,2,500,0,500,0
,,,,,,,,,,,
,134,21301,"Protecció civil. Mantenimiento, maquinaria, instalacciones y utillaje","Protecció civil. Mantenimiento, maquinaria, instalacciones y utillaje",,134,2,500,0,500,0
,,,,,,,,,,,
,134,21400,Protección civil. Mantenimiento y reparación de vehículos,Protección civil. Mantenimiento y reparación de vehículos,,134,2,1400,0,1400,580.49
,,,,,,,,,,,
,134,22002,"Protección civil. Material, informático no inventariable","Protección civil. Material, informático no inventariable",,134,2,200,0,200,0
,,,,,,,,,,,
,134,22103,Protección civil. Combustibles y carburantes,Protección civil. Combustibles y carburantes,,134,2,1000,0,1000,582.3
,,,,,,,,,,,
,134,22104,Protección civil. Vestuario,Protección civil. Vestuario,,134,2,3500,0,3500,6969.62
,,,,,,,,,,,
,134,22122,Protección civil. Material técnico sanitario primeros auxilios,Protección civil. Material técnico sanitario primeros auxilios,,134,2,500,0,500,0
,,,,,,,,,,,
,134,22123,Protección civil. Material contra incendios,Protección civil. Material contra incendios,,134,2,1000,0,1000,0
,,,,,,,,,,,
,134,22199,Protección civil. Otros suministros,Protección civil. Otros suministros,,134,2,100,0,100,40
,,,,,,,,,,,
,134,22406,Protección civil. Seguros protección civil,Protección civil. Seguros protección civil,,134,2,9500,0,9500,1065.59
,,,,,,,,,,,
,134,22699,Protección civil. Otros gastos diversos,Protección civil. Otros gastos diversos,,134,2,2500,0,2500,2054.72
,,,,,,,,,,,
,134,22707,Protección civil. Formación protección civil,Protección civil. Formación protección civil,,134,2,1000,0,1000,0
,,,,,,,,,,,
,135,22501,Servicio de extinción de incendios..Servicio Extinción de Incendios,Servicio de extinción de incendios..Servicio Extinción de Incendios,,135,2,688503.44,0,688503.44,344251.72
,,,,,,,,,,,
,151,12000,Urbanismo. Sueldos del Grupo A1,Urbanismo. Sueldos del Grupo A1,,151,1,31053.4,0,31053.4,43994.99
,,,,,,,,,,,
,151,12001,Urbanismo. Sueldos del Grupo A2,Urbanismo. Sueldos del Grupo A2,,151,1,67128.6,0,67128.6,54690.94
,,,,,,,,,,,
,151,12003,Urbanismo. Sueldos del Grupo C1,Urbanismo. Sueldos del Grupo C1,,151,1,60481.68,0,60481.68,54094.27
,,,,,,,,,,,
,151,12004,Urbanismo. Sueldos del Grupo C2,Urbanismo. Sueldos del Grupo C2,,151,1,41947.5,0,41947.5,41162.27
,,,,,,,,,,,
,151,12006,Urbanismo. Trienios,Urbanismo. Trienios,,151,1,15885.56,0,15885.56,17888.32
,,,,,,,,,,,
,151,12100,Urbanismo. Complemento de destino,Urbanismo. Complemento de destino,,151,1,125444.34,0,125444.34,124771.75
,,,,,,,,,,,
,151,12101,Urbanismo. Complemento específico,Urbanismo. Complemento específico,,151,1,228571.84,0,228571.84,232056.2
,,,,,,,,,,,
,151,13000,Urbanismo. Salario Base,Urbanismo. Salario Base,,151,1,7678.58,0,7678.58,7678.58
,,,,,,,,,,,
,151,13002,Urbanismo. Otras remuneraciones,Urbanismo. Otras remuneraciones,,151,1,10148.74,0,10148.74,10148.74
,,,,,,,,,,,
,151,13006,Urbanismo. Trienios,Urbanismo. Trienios,,151,1,565.74,0,565.74,565.74
,,,,,,,,,,,
,151,13100,Urbanismo. Salario Base,Urbanismo. Salario Base,,151,1,7678.58,0,7678.58,7678.58
,,,,,,,,,,,
