#EJECUCIÓN INGRESOS  - EJERCICIO 2013,,,,,,,
,,,,,,,
#Ejercicio,Org.,Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2013,,11200,Impuesto  Bienes Inmuebles. Bienes Inmuebles de Naturaleza Rústica,4665.28,0,4665.28,4665.28
2013,,11300,Impuesto Bienes Inmuebles Naturaleza Urbana. Padrón (recibos),11277878.38,0,11277878.38,11277878.38
2013,,11301,Impuesto Bienes Inmuebles Naturleza Urbana. Liquidaciones,100000,0,100000,166950.82
2013,,11400,Impuesto Bienes Inmuebles. Bienes Inmuebles de características especiales,43786.1,0,43786.1,43786.1
2013,,11500,Impuesto  Vehículos de Tracción Mecánica,917339.7,0,917339.7,927455.81
2013,,11600,Impuesto  Incremento del Valor de los Terrenos de Naturaleza Urbana,1200000,0,1200000,2495583.17
2013,,13000,Impuesto sobre Actividades Económicas,490000,0,490000,515554.52
2013,,29000,"Impuesto sobre construcciones, instalaciones y obras",300000,0,300000,346436.09
2013,,30200,Servicio recogida de basuras,1060000,0,1060000,992779.5
2013,,30500,Cementerios,11000,0,11000,12101.79
2013,,31200,Servicios educativos. Casa de niños,22000,0,22000,27065.31
2013,,31300,Servicios deportivos. Escuelas Municipales Deportivas jóvenes y adultos,131111.4,0,131111.4,114815
2013,,31301,Servicios  deportivos. Escuellas Municipales Deportivas infantiles,300141,0,300141,275621.41
2013,,31302,Entradas y bonos piscina aire libre,16000,0,16000,19817.8
2013,,31303,Alquiler pistas C.D. La Dehesa,31000,0,31000,28741.35
2013,,31304,Aquiler Pistas C.D. Los Mosquitos,35000,0,35000,28334.05
2013,,31305,Competición Fútbol sala,12000,0,12000,7080
2013,,31306,Competición Fútbol Siete,24000,0,24000,10569.5
2013,,31307,Matrículas Deportes,26000,0,26000,29380.25
2013,,31400,Tasas Actividades Juventud,62000,0,62000,0
2013,,31500,Tasas Actividades Mujer,9000,0,9000,9998.9
2013,,31600,Tasas Actividades infancia-Pequeteca,1400,0,1400,754.2
2013,,31601,Tasas Actividades infancia-Ludoteca,5000,0,5000,3310.9
2013,,31603,Tasa Actividades Infancia,30312,0,30312,37442.9
2013,,31702,Tasas Talleres de Cultura-Historia del Arte,2000,0,2000,2757.5
2013,,31703,Tasas Talleres de Cultura-Ofimática,5000,0,5000,3037.03
2013,,31704,Tasas Talleres de Cultura-Restauración,5300,0,5300,1902.72
2013,,31705,Tasas entradas a Teatros,16500,0,16500,23993.29
2013,,31706,Tasas Escuela de Música,50300,0,50300,60157.67
2013,,31708,Tasas Actividades culturales,0,0,0,138.6
2013,,32100,Tasa Licencias urbanísticas por obras,83500,0,83500,90787.01
2013,,32101,Tasas Licencias urbanistícas por acometidas,0,0,0,14765.96
2013,,32102,Tasas Licencia de apertura de establecimientos y actividad,170000,0,170000,182485.01
2013,,32200,Cedulas de habitabilidad y licencias de primera ocupación,145000,0,145000,11070.49
2013,,32500,Expedición de documentos. Tarjeta Activa,136000,0,136000,137280.45
2013,,32501,Expedición de documentos. Derechos de examen,0,0,0,15884.93
2013,,32502,Expedición de documentos.Resto de conceptos,10000,0,10000,14393.46
2013,,32600,Tasa  retirada de vehículos. Inmovilización,4400,0,4400,3105.3
2013,,32601,Tasa retirada de vehículos. Retirada incompleta,3100,0,3100,3177.18
2013,,32602,Tasa  retirada de vehcículos. Retirada y depósito,34000,0,34000,69787.84
2013,,32700,Tasas animales domésticos,11000,0,11000,5616
2013,,33100,Tasa  entrada de vehículos (vados),45500,0,45500,43682.28
2013,,33200,Tasa  utilización privativa dominio público - IBERDROLA,180000,0,180000,208072.31
2013,,33201,Tasa Utilización privativa  dominio Público-REPSOL,64000,0,64000,73859.06
2013,,33202,Tasa utilización privativa  dominio público-ENDESA,6500,0,6500,51986.12
2013,,33203,Tasa  utilización privativa  dominio público-OTRAS Empresas suministradoras,0,0,0,39272.37
