,,,,,,,,,,,
#EJECUCIÓN GASTOS - EJERCICIO 2015,,,,,,,,,,,
,,,,,,,,,,,
#Org.,Prog.,Econ.,Denominación,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
,,,,,,,,,,,
,130,11000,Seguridad y P. Civil Retribuciones básicas,Seguridad y P. Civil Retribuciones básicas,,130,1,480.8,0,480.8,15725.73
,,,,,,,,,,,
,130,12001,Seguridad  y P. Civil. Sueldos del Grupo A2,Seguridad  y P. Civil. Sueldos del Grupo A2,,130,1,3345.44,0,3345.44,4221.91
,,,,,,,,,,,
,130,12003,Seguridad  y P. Civil. Sueldos del Grupo C1,Seguridad  y P. Civil. Sueldos del Grupo C1,,130,1,15152.62,0,15152.62,19248.22
,,,,,,,,,,,
,130,12004,Seguridad  y P. Civil. Sueldos del Grupo C2,Seguridad  y P. Civil. Sueldos del Grupo C2,,130,1,444643.5,0,444643.5,398130.86
,,,,,,,,,,,
,130,12006,Seguridad  y P. Civil. Trienios,Seguridad  y P. Civil. Trienios,,130,1,53927.29,0,53927.29,70856.89
,,,,,,,,,,,
,130,12100,Seguridad  y P. Civil. Complemento de destino,Seguridad  y P. Civil. Complemento de destino,,130,1,252547.82,0,252547.82,225318.62
,,,,,,,,,,,
,130,12101,Seguridad y P.Civil. Complemento específico,Seguridad y P.Civil. Complemento específico,,130,1,1374433.34,0,1374433.34,1291651.68
,,,,,,,,,,,
,130,13000,Seguridad  y P. Civil..Salario Base,Seguridad  y P. Civil..Salario Base,,130,1,7678.58,0,7678.58,822.71
,,,,,,,,,,,
,130,13002,Seguridad  y P. Civil..Otras remuneraciones,Seguridad  y P. Civil..Otras remuneraciones,,130,1,9525.4,0,9525.4,1608.09
,,,,,,,,,,,
,130,13006,Seguridad  y P. Civil..Trienios,Seguridad  y P. Civil..Trienios,,130,1,898.74,0,898.74,307.11
,,,,,,,,,,,
,130,15000,Seguridad  y P. Civil. Productividad,Seguridad  y P. Civil. Productividad,,130,15000,30000,0,30000,0
,,,,,,,,,,,
,130,15100,Seguridad  y P. Civil. Gratificaciones,Seguridad  y P. Civil. Gratificaciones,,130,15100,40000,0,40000,39355.54
,,,,,,,,,,,
,130,20400,Seguridad  y P. Civil. Alquiler de vehiculos,Seguridad  y P. Civil. Alquiler de vehiculos,,130,2,39325,0,39325,16760.28
,,,,,,,,,,,
,130,21300,Seguridad  y P. Civil. Mantenimiento equipos de transmisión,Seguridad  y P. Civil. Mantenimiento equipos de transmisión,,130,2,5000,0,5000,0
,,,,,,,,,,,
,130,21301,"Seguridad  y P. Civil. Mantenimiento, maquinaria, instalacciones y utillaje","Seguridad  y P. Civil. Mantenimiento, maquinaria, instalacciones y utillaje",,130,2,6000,0,6000,3299.85
,,,,,,,,,,,
,130,21303,Seguridad  y P. Civil. Mantenimiento aparatos elevadores,Seguridad  y P. Civil. Mantenimiento aparatos elevadores,,130,2,944.07,0,944.07,922.36
,,,,,,,,,,,
,130,21305,"Seguridad  y P. Civil..Mantenimiento equip.seg., vigilancia  y alarmas","Seguridad  y P. Civil..Mantenimiento equip.seg., vigilancia  y alarmas",,130,2,39658.42,0,39658.42,42631.03
,,,,,,,,,,,
,130,21400,Seguridad  y P. Civil. Mantenimiento y reparación de vehículos,Seguridad  y P. Civil. Mantenimiento y reparación de vehículos,,130,2,20000,0,20000,15496.55
,,,,,,,,,,,
,130,21500,Seguridad  y P. Civil. Mantenimiento mobiliario y enseres,Seguridad  y P. Civil. Mantenimiento mobiliario y enseres,,130,2,1000,0,1000,0
,,,,,,,,,,,
,130,21600,Seguridad  y P. Civil. Mantenimiento equipos para procesos de información,Seguridad  y P. Civil. Mantenimiento equipos para procesos de información,,130,2,42287.55,0,42287.55,43073.82
,,,,,,,,,,,
,130,22000,Seguridad  y P. Civil. Ordinario no inventariable,Seguridad  y P. Civil. Ordinario no inventariable,,130,2,4000,0,4000,118.58
,,,,,,,,,,,
,130,22001,"Seguridad  y P. Civil. Prensa, revistas, libros y otras publicaciones","Seguridad  y P. Civil. Prensa, revistas, libros y otras publicaciones",,130,2,1000,0,1000,1726.8
,,,,,,,,,,,
,130,22100,Seguridad  y P. Civil. Energía eléctrica,Seguridad  y P. Civil. Energía eléctrica,,130,2,42500,0,42500,25757.99
,,,,,,,,,,,
,130,22101,Seguridad  y P. Civil..Agua,Seguridad  y P. Civil..Agua,,130,2,1500,0,1500,1359.85
,,,,,,,,,,,
,130,22103,Seguridad  y P. Civil. Combustibles y carburantes,Seguridad  y P. Civil. Combustibles y carburantes,,130,2,10000,0,10000,94.58
,,,,,,,,,,,
,130,22104,Seguridad  y P. Civil. Vestuario,Seguridad  y P. Civil. Vestuario,,130,2,15000,-9190.29,5809.71,2030.02
,,,,,,,,,,,
,130,22117,Seguridad  y P. Civil. Utillaje,Seguridad  y P. Civil. Utillaje,,130,2,10000,0,10000,8315.27
,,,,,,,,,,,
,130,22121,Seguridad  y P. Civil. Material prácticas de tiro,Seguridad  y P. Civil. Material prácticas de tiro,,130,2,3000,0,3000,1482.19
,,,,,,,,,,,
,130,22199,Seguridad  y P. Civil. Otros suministros,Seguridad  y P. Civil. Otros suministros,,130,2,1000,0,1000,724.76
,,,,,,,,,,,
,130,22201,Seguridad  y P. Civil. Postales,Seguridad  y P. Civil. Postales,,130,2,2500,0,2500,0
,,,,,,,,,,,
,130,22400,Seguridad  y P. Civil. Primas de seguros,Seguridad  y P. Civil. Primas de seguros,,130,2,7000,0,7000,2260.14
,,,,,,,,,,,
,130,22401,Seguridad  y P. Civil. Primes de seguros de vehículos,Seguridad  y P. Civil. Primes de seguros de vehículos,,130,2,31000,0,31000,31549.17
,,,,,,,,,,,
,130,22403,Seguridad  y P. Civil. Seguro perro policía,Seguridad  y P. Civil. Seguro perro policía,,130,2,300,0,300,253.14
,,,,,,,,,,,
,130,22603,Seguridad  y P. Civil. Publicación en Diarios Oficiales,Seguridad  y P. Civil. Publicación en Diarios Oficiales,,130,2,1000,0,1000,0
,,,,,,,,,,,
,130,22607,Seguridad  y P. Civil..Oposiciones y pruebas selectivas,Seguridad  y P. Civil..Oposiciones y pruebas selectivas,,130,2,0,4673.85,4673.85,7309.87
,,,,,,,,,,,
,130,22610,Seguridad  y P. Civil. Festejos populares (Patrona G. Civil y Policía Local),Seguridad  y P. Civil. Festejos populares (Patrona G. Civil y Policía Local),,130,2,2000,0,2000,1792.01
,,,,,,,,,,,
,130,22699,Seguridad  y P. Civil. Otros gastos diversos,Seguridad  y P. Civil. Otros gastos diversos,,130,2,3000,0,3000,1115.25
,,,,,,,,,,,
,130,22703,Seguridad  y P. Civil. Tramitación de expedientes sancionadores,Seguridad  y P. Civil. Tramitación de expedientes sancionadores,,130,2,34255.1,0,34255.1,34254.99
,,,,,,,,,,,
,130,22715,Seguridad  y P. Civil. Limpieza en edificios,Seguridad  y P. Civil. Limpieza en edificios,,130,2,18000,0,18000,17563.58
,,,,,,,,,,,
,130,22734,Seguridad  y P. Civil..Servicio de lavandería,Seguridad  y P. Civil..Servicio de lavandería,,130,2,0,0,0,774.41
,,,,,,,,,,,
,130,22755,Seguridad  y P. Civil. Servicio de Grua,Seguridad  y P. Civil. Servicio de Grua,,130,2,98220,0,98220,4652.78
,,,,,,,,,,,
,130,60900,Seguridad y P. Civil .Instalacción de Semáforos,Seguridad y P. Civil .Instalacción de Semáforos,,130,60900,0,72000,72000,0
,,,,,,,,,,,
,130,61109,Seguridad  y P. Civil..Pintura de Viales,Seguridad  y P. Civil..Pintura de Viales,,,,0,59029.85,59029.85,59027.36
,,,,,,,,,,,
,130,62305,Seguridad  y P. Civil. Señalización,Seguridad  y P. Civil. Señalización,,130,62305,15000,0,15000,8011.17
,,,,,,,,,,,
,130,62308,Seguridad  y P. Civil. Cámaras control de tráfico,Seguridad  y P. Civil. Cámaras control de tráfico,,130,62308,6000,0,6000,0
,,,,,,,,,,,
,130,62319,Seguridad  y P. Civil.Máquina Trazadora líneas de pintura,Seguridad  y P. Civil.Máquina Trazadora líneas de pintura,,130,62319,0,9190.29,9190.29,9190.29
,,,,,,,,,,,
,135,21300,Protección civil. Mantenimiento equipos de transmisión,Protección civil. Mantenimiento equipos de transmisión,,135,2,2000,0,2000,0
,,,,,,,,,,,
,135,21301,"Protección civil. Mantenimiento, maquinaria, instalacciones y utillaje","Protección civil. Mantenimiento, maquinaria, instalacciones y utillaje",,135,2,1000,0,1000,2284.92
,,,,,,,,,,,
,135,21400,Protección civil. Mantenimiento y reparación de vehículos,Protección civil. Mantenimiento y reparación de vehículos,,135,2,5000,0,5000,4302.41
,,,,,,,,,,,
,135,22002,"Protección civil. Material, informático no inventariable","Protección civil. Material, informático no inventariable",,135,2,500,0,500,0
,,,,,,,,,,,
,135,22103,Protección civil. Combustibles y carburantes,Protección civil. Combustibles y carburantes,,135,2,1000,0,1000,0
,,,,,,,,,,,
,135,22104,Protección civil. Vestuario,Protección civil. Vestuario,,135,2,7000,0,7000,10315.98
,,,,,,,,,,,
,135,22122,Protección civil. Material técnico sanitario primeros auxilios,Protección civil. Material técnico sanitario primeros auxilios,,135,2,3000,0,3000,2997.23
,,,,,,,,,,,
,135,22123,Protección civil. Material contra incendios,Protección civil. Material contra incendios,,135,2,3000,0,3000,0
,,,,,,,,,,,
,135,22199,Protección civil. Otros suministros,Protección civil. Otros suministros,,135,2,100,0,100,0
,,,,,,,,,,,
,135,22200,Protección civil. Servicios de Telecomunicaciones,Protección civil. Servicios de Telecomunicaciones,,135,2,1000,0,1000,0
,,,,,,,,,,,
,135,22406,Protección civil. Seguros protección civil,Protección civil. Seguros protección civil,,135,2,8200.52,0,8200.52,2458.69
,,,,,,,,,,,
,135,22699,Protección civil. Otros gastos diversos,Protección civil. Otros gastos diversos,,135,2,3000,0,3000,4260.19
,,,,,,,,,,,
